LTKBID,DILIRank_PubChem_CID,LabelCompoundName,ApprovalYear,DILIConcern,SeverityClass,LabelSection,AdjudicatedDILI,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,URL (accessed on 1/21/2016),"VER_DISP (1=LTKB-BD, 2=others)",DILIST_ID,CompoundName,DILIst Classification ,Routs of Administration ,PUBCHEM_CID_from_name,compound_id,_merge,pubchem_smiles
LT00694,21382,clomacran,,Most-DILI-Concern,8,Withdrawn,,vMost-DILI-Concern,,,,,CN(C)CCCC1C2=CC=CC=C2NC3=C1C=C(C=C3)Cl,,1,329,clomacran,1,Oral,21382,CID21382,both,CN(C)CCCC1C2=CC=CC=C2NC3=C1C=C(C=C3)Cl
LT00695,32756,dermatan,,Most-DILI-Concern,8,Discontinued,,vMost-DILI-Concern,,,,,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)OS(=O)(=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)[O-])O)O)O,,1,330,dermatan,1,Intravenous,32756,CID32756,both,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)OS(=O)(=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)[O-])O)O)O
LT00696,71169,isaxonine,,Most-DILI-Concern,8,Withdrawn,,vMost-DILI-Concern,,,,,CC(C)NC1=NC=CC=N1,,1,331,isaxonine,1,Oral,71169,CID71169,both,CC(C)NC1=NC=CC=N1
LT00697,6761,pipamazine,,Most-DILI-Concern,8,Withdrawn,,vMost-DILI-Concern,,,,,C1CN(CCC1C(=O)N)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,,1,332,pipamazine,1,Oral,6761,CID6761,both,C1CN(CCC1C(=O)N)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
LT00698,153270,pralnacasan ,,Most-DILI-Concern,8,Discontinued,,vMost-DILI-Concern,,,,,CCO[C@H]1[C@H](CC(=O)O1)NC(=O)[C@@H]2CCCN3N2C(=O)[C@H](CCC3=O)NC(=O)C4=NC=CC5=CC=CC=C54,,1,333,pralnacasan,1,Oral,153270,CID153270,both,CCO[C@H]1[C@H](CC(=O)O1)NC(=O)[C@@H]2CCCN3N2C(=O)[C@H](CCC3=O)NC(=O)C4=NC=CC5=CC=CC=C54
LT00699,11033,sulfacarbamide,,Most-DILI-Concern,8,Withdrawn,,vMost-DILI-Concern,,,,,C1=CC(=CC=C1N)S(=O)(=O)NC(=O)N,,1,334,sulfacarbamide,1,Oral,11033,CID11033,both,C1=CC(=CC=C1N)S(=O)(=O)NC(=O)N
LT00700,29321,triacetyldiphenolisatin,,Most-DILI-Concern,8,Withdrawn,,vMost-DILI-Concern,,,,,CC(=O)N1C2=CC=CC=C2C(C1=O)(C3=CC=C(C=C3)OC(=O)C)C4=CC=C(C=C4)OC(=O)C,,1,335,triacetyldiphenolisatin,1,Oral,29321,CID29321,both,CC(=O)N1C2=CC=CC=C2C(C1=O)(C3=CC=C(C=C3)OC(=O)C)C4=CC=C(C=C4)OC(=O)C
LT00701,172307,fiduxosin ,,Most-DILI-Concern,8,Discontinued,,vMost-DILI-Concern,,,,,COC1=CC=CC2=C1[C@@H]3CN(C[C@@H]3CO2)CCCCN4C(=O)C5=C(C6=NC(=CN=C6S5)C7=CC=CC=C7)NC4=O,,1,336,fiduxosin,1,Oral,172307,CID172307,both,COC1=CC=CC2=C1[C@@H]3CN(C[C@@H]3CO2)CCCCN4C(=O)C5=C(C6=NC(=CN=C6S5)C7=CC=CC=C7)NC4=O
LT00702,5480200,pafuramidine ,,Most-DILI-Concern,8,Discontinued,,vMost-DILI-Concern,,,,,CO/N=C(\N)/C1=CC=C(C=C1)C2=CC=C(O2)C3=CC=C(C=C3)/C(=N/OC)/N,,1,337,pafuramidine,1,Oral,5480200,CID5480200,both,CO/N=C(\N)/C1=CC=C(C=C1)C2=CC=C(O2)C3=CC=C(C=C3)/C(=N/OC)/N
LT00703,71467,phenoxypropazine,,Most-DILI-Concern,8,Withdrawn,,vMost-DILI-Concern,,,,,CC(COC1=CC=CC=C1)NN,,1,338,phenoxypropazine,1,Oral,71467,CID71467,both,CC(COC1=CC=CC=C1)NN
LT00706,65513,histamine diphosphate,1939,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,C1=C(NC=N1)CCN.OP(=O)(O)O.OP(=O)(O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1159c24c-d9ce-49a2-b0bd-dc27c710f146,2,339,histamine diphosphate,0,Subcutaneous,65513,CID65513,both,C1=C(NC=N1)CCN.OP(=O)(O)O.OP(=O)(O)O
LT00711,9433,aminophylline,1940,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7c01224-b32b-40ef-935b-164893a93b22,2,340,aminophylline,0,Oral,9433,CID9433,both,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
LT00713,4058,meperidine,1942,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,non-hepatotixic,,,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8f9e0a64-cae4-4a56-8a3e-3dec2e705759,2,341,meperidine,0,Oral,4058,CID4058,both,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2
LT00716,10836,methamphetamine,1943,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,non-hepatotixic,,,C[C@@H](CC1=CC=CC=C1)NC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=15e150c7-1347-40fb-9f58-c390521bc6f9,2,342,methamphetamine,0,Oral,10836,CID10836,both,C[C@@H](CC1=CC=CC=C1)NC
LT00723,4095,methadone,1947,Less-DILI-Concern,3,Adverse reactions,,Ambiguous DILI-concern,,,,,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b72a120-ca4e-4b90-7d89-52967a39adb3,2,343,methadone,0,Oral,4095,CID4095,both,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
LT00727,3162,doxylamine,1948,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bf64865f-4cf8-444a-9106-62abf2f22879,2,345,doxylamine,0,Oral,3162,CID3162,both,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C
LT00730,2370,bethanechol,1948,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC(C[N+](C)(C)C)OC(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e9445fc1-8a27-4a93-8fe7-90ae5f2aaab7,1,347,bethanechol,0,Oral,2370,CID2370,both,CC(C[N+](C)(C)C)OC(=O)N
LT00734,5745,cortisone acetate,1950,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=105133d9-2991-4dd2-8d99-beb81aed8aad,2,348,cortisone acetate,0,Oral,5745,CID5745,both,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
LT00737,3042,dicyclomine,1950,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a553bda-1e3d-4b80-913f-73dd54655033,2,349,dicyclomine,0,Oral,3042,CID3042,both,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
LT00738,439260,norepinephrine,1950,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,C1=CC(=C(C=C1[C@H](CN)O)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31dcd090-2f1b-405a-9c2e-04fc535ccf4d,1,350,norepinephrine,0,Intravenous,439260,CID439260,both,C1=CC(=C(C=C1[C@H](CN)O)O)O
LT00740,3182,dyphylline,1951,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6d7ed7c0-9646-11de-a404-0002a5d5c51b,2,351,dyphylline,0,Oral,3182,CID3182,both,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
LT00742,5816,epinephrine,1951,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8da22eb1-0965-4d4e-b15d-91db7193548e,1,352,epinephrine,0,Subcutaneous,5816,CID5816,both,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
LT00749,5314,succinylcholine,1952,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=579ff759-3099-45f5-befe-c4b79106c87e,1,353,succinylcholine,0,Intravenous,5314,CID5314,both,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
LT00752,5359272,levorphanol,1953,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b2ab70e4-ca0c-4a73-9c98-974bf94e890c,2,355,levorphanol,0,Oral,5359272,CID5359272,both,CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O
LT00753,4934,propantheline,1953,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=84a920c8-b637-4741-b9b2-fc607e245ce0,2,356,propantheline,0,Oral,4934,CID4934,both,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C
LT00759,2564,carbinoxamine,1974,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1edca669-8879-408a-b09c-259e363dd95c,1,357,carbinoxamine,0,Oral,2564,CID2564,both,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
LT00774,2140,diatrizoate,1954,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7496d736-9f7d-4136-ad5d-b24c7803c21b,2,358,diatrizoate,0,Intravenous,2140,CID2140,both,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
LT00780,4812,phytonadione,1955,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,Negative,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1e4cf5e1-37fd-4bf9-a078-0c185f77fa5c,2,359,phytonadione,0,Oral,5284607,CID5284607,both,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
LT00781,4032,mecamylamine,1956,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,non-hepatotixic,,,CC1(C2CCC(C2)C1(C)NC)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e1fc95fe-7816-47b6-b73d-b2f644f79872,2,360,mecamylamine,0,Oral,4032,CID4032,both,CC1(C2CCC(C2)C1(C)NC)C
LT00783,5920,liothyronine,1956,No-DILI-Concern,0,No match,,vNo-DILI-Concern,NE,non-hepatotixic,Negative,,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38ef3766-bb9a-402e-9e4a-ad8bb5b26e4c,1,361,liothyronine,0,Oral,5920,CID5920,both,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O
LT00787,6476,methsuximide,1957,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=64a6ee88-c6b1-4e13-8208-b6772ef65a74,2,362,methsuximide,0,Oral,6476,CID6476,both,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2
LT00790,4057,mepenzolate,1956,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=71b7afe6-4625-4467-adb7-510769da2b17,2,363,mepenzolate,0,Oral,4057,CID4057,both,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C
LT00792,4034,meclizine,1957,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,non-hepatotixic,,,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b10e789-3f47-4008-a989-40a419379a23,1,364,meclizine,0,Oral,4034,CID4034,both,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
LT00798,5282443,triprolidine,1984,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cc466d33-cf3e-4f1c-a794-6d3d79903adf,2,365,triprolidine,0,Oral,5282443,CID5282443,both,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3
LT00800,7699,benzonatate,1958,No-DILI-Concern,0,No match,Yes,vLess-DILI-Concern,,,,,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=199a42ae-4d19-4e68-934d-dabd27084988,1,366,benzonatate,1,Oral,7699,CID7699,both,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
LT00801,169893,Sodium polystyrene sulfonate,1958,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,C=CC1=CC=CC=C1S(=O)(=O)[O-].[Ca+2],http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2017bfbe-cda8-46f1-b4f1-9c086c3249a9,2,367,Sodium polystyrene sulfonate,0,Oral,75905,CID75905,both,C=CC1=CC=CC=C1S(=O)(=O)[O-].[Ca+2]
LT00802,3038,dichlorphenamide,1958,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,Negative,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17f2f05d-7375-4d7d-8083-174ed27e736f,2,368,dichlorphenamide,0,Oral,3038,CID3038,both,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
LT00805,4771,phentermine,1959,No-DILI-Concern,0,No match,Yes,vLess-DILI-Concern,,non-hepatotixic,,Negative,CC(C)(CC1=CC=CC=C1)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7ca86c66-409b-4852-8631-c3ada6e60738,1,369,phentermine,1,Oral,4771,CID4771,both,CC(C)(CC1=CC=CC=C1)N
LT00806,7029,diethylpropion,1959,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CCN(CC)C(C)C(=O)C1=CC=CC=C1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=330965ca-154f-42d2-bb7c-9494bf036c92,2,370,diethylpropion,0,Oral,7029,CID7029,both,CCN(CC)C(C)C(=O)C1=CC=CC=C1
LT00808,5284604,oxymorphone,1959,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,non-hepatotixic,,,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c9c381b4-94d1-4294-aa37-1a5a5423812d,2,371,oxymorphone,0,Oral,5284604,CID5284604,both,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O
LT00810,16960,dexbrompheniramine,,No-DILI-Concern,0,No match,,vNo-DILI-Concern,NE,,,,CN(C)CC[C@@H](C1=CC=C(C=C1)Br)C2=CC=CC=N2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0d203b5c-8b10-428b-8703-17be6b4ce6eb,2,372,dexbrompheniramine,0,Oral,16960,CID16960,both,CN(C)CC[C@@H](C1=CC=C(C=C1)Br)C2=CC=CC=N2
LT00817,2381,biperiden,1959,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,,1,373,biperiden,0,Oral,2381,CID2381,both,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
LT00818,6883,isosorbide dinitrate,1968,No-DILI-Concern,0,No match,,vNo-DILI-Concern,NE,,Negative,,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f6b4e8b5-1a45-4ba0-8416-4261b95c2f51,2,374,isosorbide dinitrate,0,Oral,6883,CID6883,both,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-]
LT00822,4062,mepivacaine,1960,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,non-hepatotixic,,Negative,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5ad26708-14fe-4d31-91df-fa6813bdde7c,2,375,mepivacaine,0,Subcutaneous,4062,CID4062,both,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C
LT00825,2315,bendroflumethiazide,1959,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3f11df27-710b-4903-a985-74ee4674a844,2,376,bendroflumethiazide,1,Oral,2315,CID2315,both,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
LT00826,12460,phendimetrazine,1976,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,non-hepatotixic,,,CC1C(OCCN1C)C2=CC=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d11411e2-ccfa-49b0-8470-5682053cfb1b,1,377,phendimetrazine,0,Oral,30487,CID30487,both,CC1C(OCCN1C)C2=CC=CC=C2
LT00827,439302,oxytocin,1980,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6d7d1280-f286-4f39-89f3-2b96571810e6,2,378,oxytocin,0,Intravenous,439302,CID439302,both,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N
LT00829,3518,guanethidine,1960,No-DILI-Concern,0,No match,,vNo-DILI-Concern,HH,,Positive,,C1CCCN(CCC1)CCN=C(N)N,,1,379,guanethidine,0,Oral,3518,CID3518,both,C1CCCN(CCC1)CCN=C(N)N
LT00831,3291,ethosuximide,1960,Less-DILI-Concern,3,Warnings and precautions,,Ambiguous DILI-concern,HH,,Positive,,CCC1(CC(=O)NC1=O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9d2075a7-8b88-42d5-8df5-05e4ca72f4b2,2,380,ethosuximide,0,Oral,3291,CID3291,both,CCC1(CC(=O)NC1=O)C
LT00832,2341,benzphetamine,1960,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3fd6b3a8-b17b-4b98-ad03-a8af7b6f3368,1,381,benzphetamine,0,Oral,5311017,CID5311017,both,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2
LT00836,3494,glycopyrrolate,1961,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d200bd44-9856-4104-a29e-a4cca3db6737,2,382,glycopyrrolate,0,Oral,11693,CID11693,both,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C
LT00838,4174,metyrapone,1961,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=24880533-7236-434a-ab1b-07773fef8a8c,1,383,metyrapone,0,Oral,4174,CID4174,both,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2
LT00841,15459,metaxalone,1962,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,Negative,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=edc1656d-26f0-95c2-ee8f-50518fd5affd,2,384,metaxalone,1,Oral,15459,CID15459,both,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C
LT00845,5878,oxandrolone,1964,Most-DILI-Concern,8,Box warning,Yes,vMost-DILI-Concern,,,,,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8e6af85f-e44e-4c47-8a1a-7c5cb7893167,1,385,oxandrolone,1,Oral,5878,CID5878,both,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C
LT00847,4616,oxazepam,1965,Less-DILI-Concern,5,Adverse reactions,,Ambiguous DILI-concern,,,,,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2ccffa0-039d-b77d-5b10-c3e485ab2b99,2,386,oxazepam,0,Oral,4616,CID4616,both,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O
LT00848,4976,protriptyline,1967,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a6be6521-7179-442f-8c45-69711a2c3290,2,387,protriptyline,0,Oral,4976,CID4976,both,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13
LT00855,16129617,cosyntropin,1970,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC(C)[C@@H](C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N3CCC[C@H]3C(=O)O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC7=CC=CC=C7)NC(=O)[C@H](CC8=CNC=N8)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](CC9=CC=C(C=C9)O)NC(=O)C(CO)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=746856e9-3930-4f6a-b8e6-a03845d6dd0b,2,388,cosyntropin,0,Intravenous,16129617,CID16129617,both,CC(C)[C@@H](C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N3CCC[C@H]3C(=O)O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC7=CC=CC=C7)NC(=O)[C@H](CC8=CNC=N8)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](CC9=CC=C(C=C9)O)NC(=O)C(CO)N
LT00857,3354,flavoxate,1970,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9422e67e-d64c-3ba1-b2b9-ca9d3eeda743,1,389,flavoxate,0,Oral,3354,CID3354,both,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4
